ImageId,EncodedPixels
test_mask_1,8203 1 8453 1 8702 2 8951 3 9201 8 9214 6 9450 20 9700 20 9949 21 10198 22 10448 2 10454 17 10697 5 10704 19 10955 19 11206 19 11457 20 11710 17 11930 4 11943 5 11960 20 12179 5 12196 1 12209 22 12427 8 12461 21 12677 9 12711 22 12926 10 12961 23 13175 12 13211 24 13425 12 13462 23 13672 16 13712 23 13915 27 13962 23 14157 6 14164 28 14213 22 14406 36 14463 23 14655 38 14714 22 14904 39 14964 22 15152 42 15215 22 15401 43 15465 19 15650 45 15713 22 15736 1 15899 47 15959 29 16142 57 16204 35 16375 1 16391 62 16454 35 16624 6 16636 102 16872 116 17121 117 17359 9 17369 119 17608 131 17857 132 18106 133 18354 135 18603 136 18853 136 19101 39 19141 98 19351 38 19392 97 19596 142 19845 142 20095 141 20340 1 20344 141 20584 56 20642 93 20831 57 20892 92 21079 22 21102 32 21144 89 21328 21 21355 26 21398 84 21573 25 21608 19 21657 74 21821 27 21860 3 21912 68 22068 28 22165 64 22315 30 22416 62 22564 30 22668 59 22814 29 22920 57 23063 29 23172 54 23312 26 23423 52 23559 26 23673 50 23808 24 23925 47 24058 21 24177 43 24308 21 24430 39 24557 20 24681 30 24807 19 24931 28 25057 18 25182 25 25306 16 25436 19 25551 20 25688 16 25799 21 25938 13 26048 20 26189 2 26297 19 26547 18 26795 19 27043 21 27291 23 27540 23 27789 24 28039 24 28289 23 28538 24 28788 23 29037 24 29286 24 29535 24 29785 24 30035 24 30284 25 30534 24 30784 24 31033 25 31283 25 31532 26 31782 26 32032 27 32282 27 32532 27 32781 28 33031 28 33281 28 33531 28 33781 29 34032 28 34282 28 34532 28 34782 28 35032 28 35282 28 35532 28 35782 28 36031 30 36281 29 36531 29 36780 31 37031 30 37281 30 37531 31 37781 31 38031 32 38281 32 38531 32 38781 33 39031 34 39282 34 39531 36 39782 37 40031 39 40282 39 40531 42 40781 44 41031 62 41213 4 41220 4 41281 66 41462 12 41531 69 41708 17 41781 71 41955 21 41994 1 42031 72 42180 6 42189 37 42228 1 42244 3 42281 73 42428 47 42478 2 42493 8 42531 74 42676 48 42728 3 42743 8 42781 75 42924 46 42977 4 42993 8 43032 78 43173 78 43282 79 43422 79 43532 83 43666 85 43782 89 43915 86 44032 94 44161 90 44282 99 44408 93 44532 105 44647 104 44783 218 45034 217 45285 216 45536 215 45787 214 46038 213 46289 212 46540 211 46790 211 47043 208 47294 207 47546 205 47797 204 48048 203 48300 201 48552 199 48805 196 49056 195 49306 195 49556 195 49808 193 50061 190 50313 188 50564 187 50819 182 51071 180 51326 3 51340 161 51593 8 51604 147 51857 144 52120 131 52372 75 52448 53 52625 56 52683 13 52699 13 52714 37 52885 38 52937 2 52950 1 52952 2 52966 35 53137 27 53168 5 53187 2 53190 3 53201 3 53216 35 53390 2 53395 5 53401 7 53420 3 53451 3 53466 35 53655 1 53701 2 53719 32 53969 32 54220 31 54470 31 54721 30 54974 27 55226 25 55478 23 55729 14 55745 6 55980 12 55997 4 56230 10 56249 2 56481 9 56733 3 56984 1
test_mask_2,14328 1 14575 11 14590 4 14822 23 15068 29 15314 37 15562 40 15809 44 16056 54 16306 55 16555 59 16803 63 17052 65 17300 68 17548 71 17798 73 18047 75 18296 77 18545 79 18793 81 19042 83 19291 84 19540 85 19789 80 20038 39 20087 25 20287 38 20337 21 20537 37 20587 18 20786 37 20839 14 21035 37 21092 11 21285 36 21344 6 21535 36 21784 37 22033 38 22283 38 22533 37 22782 38 23032 38 23281 39 23530 39 23780 38 24030 38 24280 37 24530 37 24779 37 25029 37 25279 36 25528 36 25778 36 26028 36 26278 36 26528 36 26777 37 27027 37 27277 37 27527 38 27776 39 28026 39 28276 39 28526 40 28776 40 29025 41 29275 42 29525 42 29775 42 30025 42 30275 43 30525 43 30775 43 31025 43 31275 43 31526 42 31776 42 32027 41 32277 41 32527 41 32778 40 33028 40 33278 40 33528 40 33778 40 34028 40 34278 40 34528 40 34778 39 35029 38 35279 38 35530 37 35780 37 36030 37 36280 37 36530 37 36781 36 37032 35 37282 35 37532 35 37782 35 38033 34 38284 33 38535 32 38785 32 39036 31 39287 31 39538 30 39789 30 40040 29 40290 30 40542 28 40793 28 41045 27 41296 28 41547 29 41587 7 41798 51 42049 53 42302 51 42555 50 42806 52 43056 47 43105 3 43308 29 43339 11 43561 23 43592 3 43825 4
test_mask_3,16827 2 17061 3 17075 4 17310 4 17316 5 17322 14 17559 35 17808 37 18057 38 18305 40 18554 41 18803 42 19052 43 19109 1 19302 43 19359 1 19551 52 19604 7 19800 61 20050 61 20299 62 20547 1 20549 62 20797 1 20799 63 21046 65 21296 66 21544 70 21793 36 21837 27 22042 35 22102 12 22292 35 22353 11 22541 34 22604 11 22791 33 22855 10 23040 33 23107 8 23290 32 23359 6 23540 31 23609 6 23790 31 23860 4 24039 31 24111 1 24288 31 24537 32 24786 32 25035 33 25283 34 25531 36 25780 36 26030 36 26279 37 26528 38 26778 38 27027 39 27276 40 27525 41 27775 41 28024 43 28274 43 28523 45 28772 47 29021 49 29271 50 29521 50 29770 51 30019 51 30269 51 30519 51 30768 51 31018 51 31267 51 31517 51 31766 51 32015 52 32263 54 32512 54 32760 56 33008 1 33010 56 33257 2 33266 50 33506 3 33517 49 33756 3 33767 49 34006 4 34017 49 34255 4 34267 49 34505 4 34518 48 34755 4 34768 48 35005 4 35018 48 35256 3 35268 49 35507 2 35517 50 35758 1 35767 50 36017 50 36267 50 36517 50 36766 52 37014 54 37264 55 37514 55 37763 56 38013 56 38263 56 38513 56 38763 56 39014 56 39265 56 39515 56 39766 55 40017 55 40268 55 40520 53 40771 53 41022 54 41273 55 41523 56 41774 58 42024 62 42274 63 42525 63 42776 64 43027 67 43277 68 43527 68 43777 70 44027 72 44277 74 44527 76 44778 83 45029 84 45279 85 45529 85 45779 86 46028 87 46278 87 46529 87 46779 87 47029 86 47280 85 47530 85 47780 84 48030 84 48280 83 48530 83 48781 80 49031 80 49282 78 49532 77 49782 75 50033 70 50283 70 50534 69 50785 67 51036 65 51204 5 51287 63 51447 12 51539 61 51689 20 51790 59 51939 20 52041 57 52189 21 52293 54 52439 19 52545 51 52689 19 52797 49 52939 15 53056 39 53188 8 53198 6 53309 28 53343 1 53443 1 53450 4 53565 3 53574 6 53702 2 53827 2
test_mask_4,15819 19 15840 1 16066 29 16314 31 16562 33 16811 38 17059 43 17307 52 17556 55 17806 61 18056 62 18306 62 18556 62 18805 64 19055 65 19304 66 19549 69 19798 69 20048 66 20296 65 20544 64 20792 61 21040 62 21289 46 21337 12 21538 38 21787 36 22037 35 22286 35 22535 36 22784 36 23033 36 23282 36 23530 37 23780 36 24030 36 24280 36 24529 37 24779 36 25029 36 25278 37 25527 37 25777 37 26027 37 26277 37 26527 37 26777 37 27027 37 27277 37 27526 38 27775 39 28025 39 28275 39 28525 39 28775 39 29025 39 29275 39 29524 40 29774 41 30024 41 30274 42 30524 42 30774 43 31024 43 31274 43 31524 42 31774 42 32024 41 32274 40 32524 40 32774 40 33024 40 33274 40 33524 40 33774 40 34024 41 34274 41 34524 42 34774 42 35025 42 35276 41 35527 40 35778 39 36029 38 36280 37 36530 37 36781 36 37032 36 37282 38 37532 39 37782 39 38032 39 38282 40 38533 39 38783 40 39037 38 39289 37 39539 38 39789 39 40040 39 40290 39 40540 41 40790 46 41042 47 41293 48 41545 49 41797 56 42048 57 42298 60 42548 62 42799 62 43052 62 43303 60 43553 59 43805 57 44055 56 44305 56 44556 54 44806 54 45059 44 45311 42 45563 39 45813 39 46064 35 46318 27 46571 24 46827 1
test_mask_5,17575 4 17818 17 18063 23 18310 27 18557 30 18806 33 19055 34 19099 3 19303 34 19548 34 19797 32 20046 29 20294 28 20542 29 20789 30 21038 30 21286 31 21536 29 21786 29 22035 29 22284 30 22534 30 22784 29 23033 30 23281 31 23530 32 23780 32 24030 32 24279 33 24529 33 24778 33 25028 33 25277 35 25526 36 25776 37 26025 38 26275 38 26524 39 26773 40 27022 42 27272 42 27521 43 27770 44 28019 45 28267 47 28517 47 28766 48 29015 49 29265 50 29514 51 29764 51 30013 53 30263 53 30512 54 30762 54 31012 55 31262 55 31512 55 31762 55 32012 55 32261 57 32511 57 32761 57 33011 57 33262 57 33512 57 33762 57 34013 56 34263 57 34514 56 34765 55 35015 55 35264 57 35515 57 35765 58 36016 58 36266 59 36517 59 36774 52 37025 52 37266 1 37275 53 37515 5 37525 54 37765 6 37774 55 38014 65 38263 66 38513 67 38762 68 39013 10 39025 56 39263 9 39276 55 39513 8 39527 55 39763 7 39777 55 40013 6 40027 55 40263 6 40277 55 40513 5 40528 55 40764 4 40778 55 41029 55 41279 56 41529 57 41779 57 42029 58 42279 3 42284 53 42529 3 42535 53 42779 3 42786 55 43034 61 43282 63 43532 65 43781 67 44031 70 44280 75 44530 79 44780 84 45030 87 45280 88 45530 88 45780 88 46030 89 46280 89 46530 89 46780 88 47033 84 47283 83 47534 80 47784 78 48034 76 48284 75 48536 71 48789 67 49040 15 49056 50 49292 12 49305 51 49545 8 49555 51 49797 1 49800 1 49806 50 50056 50 50306 50 50556 50 50809 21 50831 3 50841 12 51060 11 51075 4 51095 3 51311 8 51327 2 51563 4
test_mask_6,17817 12 18061 26 18093 1 18101 1 18308 29 18341 4 18346 7 18556 31 18588 22 18806 56 19056 62 19305 63 19552 66 19800 68 20048 71 20298 70 20547 71 20796 71 21045 70 21293 70 21541 60 21791 58 22041 55 22290 49 22540 44 22790 41 23040 40 23290 39 23540 37 23789 37 24038 36 24288 36 24537 36 24787 35 25036 36 25285 36 25535 36 25784 37 26034 37 26284 37 26534 37 26783 38 27033 37 27283 37 27533 36 27783 36 28033 36 28283 36 28534 35 28784 34 29034 34 29284 34 29533 34 29783 34 30033 34 30283 34 30533 34 30782 35 31032 35 31282 34 31532 34 31782 34 32032 34 32282 34 32533 32 32783 32 33033 32 33283 32 33533 31 33783 31 34033 31 34283 31 34533 31 34783 31 35033 31 35282 32 35532 32 35782 32 36032 32 36281 34 36530 35 36780 35 37030 35 37281 35 37532 34 37782 34 38032 35 38282 35 38533 34 38784 34 39034 35 39285 35 39535 36 39786 35 40037 39 40287 42 40538 45 40789 47 41040 49 41291 50 41541 53 41793 52 42045 54 42296 56 42547 56 42798 57 43048 62 43300 60 43551 60 43802 61 44053 62 44305 63 44384 6 44556 64 44631 15 44806 69 44876 23 45057 92 45308 90 45559 88 45810 86 46061 83 46313 80 46563 79 46814 77 47065 76 47317 74 47569 72 47821 69 48073 67 48324 66 48576 64 48827 63 49078 62 49329 61 49581 58 49835 54 50088 15 50104 31 50370 6
test_mask_7,6138 4 6385 14 6402 5 6634 25 6880 1 6883 29 7109 1 7126 37 7357 3 7376 39 7604 6 7626 39 7850 13 7873 50 8097 19 8121 52 8187 1 8345 82 8436 2 8595 86 8684 4 8844 87 8933 5 9093 96 9341 98 9589 100 9836 103 10085 106 10334 108 10584 110 10833 113 11082 114 11332 114 11581 115 11826 120 12075 121 12325 121 12574 122 12823 123 12952 2 13070 126 13202 2 13314 132 13450 4 13563 141 13810 145 14059 147 14308 149 14556 152 14806 153 15055 155 15305 156 15553 158 15802 157 16051 157 16299 158 16548 158 16797 157 17046 158 17295 62 17361 93 17544 62 17611 93 17794 63 17861 5 17868 7 17876 80 18044 72 18118 7 18126 82 18294 72 18368 6 18376 83 18544 72 18618 6 18626 86 18794 72 18868 3 18876 86 19044 71 19126 13 19141 71 19294 72 19376 3 19391 71 19541 73 19644 68 19790 73 19896 51 19948 14 20039 72 20149 48 20198 13 20288 70 20399 47 20448 13 20537 69 20650 46 20698 13 20786 69 20900 1 20903 42 20949 10 21035 66 21103 1 21157 35 21199 10 21283 68 21407 32 21450 7 21533 68 21661 28 21700 4 21783 68 21912 27 21951 3 22032 70 22164 25 22201 3 22282 72 22415 26 22452 2 22532 72 22665 24 22703 1 22781 73 22923 22 23031 73 23173 22 23280 74 23425 20 23529 73 23678 26 23779 72 23930 24 24028 72 24181 14 24278 72 24432 11 24528 71 24685 6 24777 71 25027 70 25276 69 25525 69 25775 68 26025 67 26274 67 26524 66 26774 65 27023 65 27273 64 27523 62 27773 61 28022 61 28272 60 28522 59 28772 58 29021 58 29271 57 29520 57 29769 57 30019 56 30268 55 30518 54 30767 54 31017 54 31267 53 31517 53 31767 52 32017 52 32267 51 32517 51 32768 49 33018 48 33267 49 33517 49 33767 49 34017 49 34267 49 34517 49 34767 50 35017 49 35267 49 35518 48 35769 46 36019 46 36270 45 36520 44 36771 43 37022 42 37272 42 37522 43 37772 43 38022 44 38271 46 38521 47 38771 48 39023 47 39274 48 39525 48 39776 48 40027 48 40278 48 40529 47 40780 47 41031 48 41146 5 41281 56 41393 8 41531 60 41642 9 41781 63 41884 3 41892 10 42031 68 42134 18 42281 71 42383 19 42532 71 42627 25 42782 72 42876 27 43034 74 43115 45 43285 127 43418 11 43536 128 43666 14 43787 143 44039 142 44290 141 44540 141 44792 140 45043 144 45293 145 45544 144 45794 145 46045 144 46296 147 46546 150 46798 148 47048 148 47298 149 47556 141 47807 140 48047 1 48060 137 48198 1 48296 2 48313 136 48451 1 48546 2 48565 136 48817 137 49068 136 49320 134 49571 134 49823 133 50075 132 50327 131 50579 129 50830 127 51082 123 51335 119 51587 117 51838 116 52089 115 52340 114 52591 113 52842 112 53093 111 53344 110 53595 109 53845 109 54097 106 54348 103 54600 97 54852 94 55103 92 55355 88 55607 84 55859 8 55868 71 56134 46 56185 3 56385 42 56637 36 56888 35 57138 11 57151 14 57167 6 57389 9 57404 4 57409 4 57419 4 57640 5
test_mask_8,12568 4 12574 5 12814 17 13057 30 13306 34 13554 41 13799 51 14047 54 14295 57 14543 59 14790 63 15036 67 15283 70 15531 73 15780 77 16029 80 16279 81 16528 83 16777 87 17026 91 17274 94 17522 97 17771 99 18021 99 18271 99 18521 99 18770 100 19020 100 19270 77 19353 16 19519 72 19768 71 20017 70 20267 70 20516 70 20765 69 21014 68 21263 67 21513 65 21762 64 22012 61 22261 61 22511 60 22761 60 23010 60 23260 59 23509 59 23759 59 24008 59 24257 60 24506 61 24755 62 25004 63 25254 62 25503 63 25753 63 26003 63 26253 63 26503 62 26753 62 27003 62 27252 63 27502 63 27752 63 28002 64 28252 64 28502 64 28752 65 29002 65 29252 65 29501 66 29751 66 30001 66 30251 66 30502 65 30752 65 31002 65 31252 65 31502 65 31752 65 32002 64 32252 64 32502 64 32752 63 33002 63 33252 62 33502 62 33752 62 34002 62 34252 62 34502 61 34752 61 35002 61 35252 61 35503 60 35754 59 36006 57 36257 56 36508 55 36759 54 37009 54 37259 55 37510 54 37760 54 38010 54 38260 54 38510 54 38760 54 39011 53 39262 52 39513 52 39763 52 40014 51 40265 51 40516 51 40766 51 41017 54 41268 54 41518 56 41768 59 42019 62 42269 64 42519 66 42770 67 42892 3 43022 69 43142 4 43273 72 43391 5 43525 75 43641 4 43776 80 43892 1 44028 83 44280 84 44532 85 44782 86 45032 87 45283 86 45536 82 45788 79 46040 71 46112 1 46293 67 46548 61 46802 51 47055 47 47306 44 47559 28 47592 3 47812 3 47817 2 47824 6
test_mask_9,11820 1 13806 7 13826 5 13842 3 14058 5 14076 6 14092 6 14326 6 14341 7 14576 6 14591 8 14825 7 14841 8 15076 6 15092 7 15325 6 15342 6 15573 9 15592 6 15819 15 15841 8 16047 4 16069 16 16089 12 16297 4 16319 17 16339 13 16546 6 16568 19 16588 15 16795 7 16817 37 17044 8 17067 37 17294 8 17316 38 17543 10 17564 42 17792 11 17811 46 18043 11 18058 50 18293 11 18306 53 18543 11 18556 54 18793 12 18806 54 19044 67 19294 67 19543 68 19793 68 20044 66 20294 63 20545 56 20796 33 20834 14 21046 32 21087 8 21296 32 21544 31 21794 29 22044 28 22294 24 22543 21 22793 19 23043 18 23293 16 23542 16 23791 17 24041 17 24291 17 24540 17 24790 17 25040 17 25290 16 25539 17 25788 18 26039 17 26289 17 26539 17 26788 18 27038 18 27288 18 27537 19 27787 19 28037 19 28286 20 28536 20 28786 20 29035 21 29286 21 29536 22 29786 22 30036 22 30286 22 30536 23 30786 23 31036 23 31287 23 31537 24 31787 24 32037 24 32287 24 32536 25 32787 25 33037 25 33288 25 33538 25 33789 24 34039 24 34289 24 34540 24 34790 24 35040 24 35290 24 35540 24 35790 24 36041 24 36291 24 36541 24 36792 23 37042 24 37292 24 37543 24 37794 23 38045 22 38295 22 38546 22 38798 20 39049 20 39300 20 39551 20 39802 19 40053 19 40305 20 40337 4 40555 23 40580 30 40807 54 41059 52 41309 53 41559 52 41810 51 42060 51 42311 49 42561 49 42813 47 43071 35 43321 32 43571 32 43822 30 44072 29 44323 27 44574 24 44825 21 45076 5 45088 7 45327 2 45337 8 45577 2 45587 8 45828 1 45836 9 46078 1 46086 9 46337 8 46587 8 46838 7
test_mask_10,17575 12 17821 16 18067 24 18314 30 18562 33 18809 39 19056 46 19306 47 19555 51 19803 53 20052 51 20301 51 20550 49 20799 46 21048 43 21298 38 21546 36 21795 35 22045 31 22295 26 22544 25 22794 23 23043 22 23292 22 23540 24 23790 24 24040 24 24290 24 24539 26 24788 27 25037 28 25286 29 25535 31 25785 31 26035 31 26285 31 26534 32 26784 33 27034 33 27283 34 27532 35 27782 35 28032 35 28282 35 28531 37 28781 37 29031 37 29280 39 29530 40 29779 41 30029 41 30279 41 30529 41 30778 42 31028 42 31278 42 31528 42 31778 42 32028 42 32278 42 32528 42 32778 42 33028 41 33278 41 33528 40 33779 39 34029 39 34279 39 34529 38 34779 38 35029 38 35280 37 35530 38 35781 37 36031 37 36281 38 36531 38 36782 37 37032 38 37282 38 37532 39 37782 39 38033 38 38283 38 38534 37 38784 37 39035 37 39286 37 39536 38 39786 39 40037 39 40287 40 40538 40 40788 41 41040 39 41290 40 41540 41 41790 43 42041 42 42292 43 42543 42 42795 54 43048 57 43298 58 43549 58 43801 57 44052 56 44305 54 44556 53 44807 52 45059 50 45311 47 45563 44 45815 42 46068 37 46321 32 46572 16 46589 1 46827 2 46835 1
test_mask_11,15840 13 16088 15 16105 5 16337 24 16584 34 16831 37 17078 40 17327 43 17574 50 17822 53 18070 56 18318 58 18566 61 18815 63 19064 66 19314 66 19562 67 19810 66 20059 56 20307 52 20556 31 20596 5 20602 2 20806 29 21056 28 21306 26 21551 29 21801 28 22050 29 22300 29 22550 29 22799 28 23049 28 23298 28 23548 27 23798 26 24048 26 24298 25 24547 26 24797 26 25046 26 25296 25 25547 24 25798 23 26048 23 26298 23 26548 22 26798 22 27048 22 27298 21 27548 21 27798 21 28048 21 28298 21 28547 22 28797 22 29047 23 29295 25 29544 26 29793 27 30043 27 30293 27 30542 28 30792 28 31041 29 31291 29 31540 30 31790 30 32040 30 32290 30 32540 30 32790 30 33039 30 33289 30 33540 29 33790 29 34040 29 34290 28 34540 28 34791 27 35041 27 35292 26 35542 26 35792 27 36042 27 36293 26 36543 26 36793 26 37043 27 37294 27 37544 27 37795 26 38045 26 38296 25 38547 25 38798 24 39048 26 39300 25 39552 24 39804 23 40055 23 40306 22 40556 23 40807 22 41059 24 41309 27 41560 29 41810 33 42061 35 42312 36 42562 37 42813 38 43064 39 43315 40 43567 45 43819 47 44071 48 44322 49 44572 51 44824 51 45074 50 45325 47 45575 45 45826 42 46077 40 46328 1 46332 33 46588 25 46846 16 47100 12 47355 7 47609 2
